"dataset","key","ja","tier","japanese_characters","source_ids","status"
"featured","hiroshima","広島","1","317","ndl-chugoku-shikoku-guide-1934;official-hiroshima-dome;official-hiroshima-peace-park","researched"
"featured","tokyo","浅草","1","309","ndl-kanto-guide-1930;official-sensoji-hondo;official-sensoji-kaminarimon","researched"
"featured","kyoto","清水寺","1","234","ndl-kinki-guide-1941;official-kiyomizu-history;official-kiyomizu-date","researched"
"featured","yokohama","みなとみらい","1","304","ndl-kanto-guide-1930;official-yokohama-mm21;official-yokohama-mm21-guide;official-yokohama-dock","researched"
"featured","osaka","大阪城","1","308","ndl-kinki-guide-1933;official-osaka-castle","researched"
"featured","kamakura","鎌倉大仏","1","293","ndl-kanto-guide-1930;official-kotokuin;official-kamakura-daibutsuden","researched"
"featured","kobe","神戸","1","305","ndl-kinki-guide-1933;official-kobe-port-history;official-kobe-meriken-history;official-kobe-memorial","researched"
"featured","okayama","岡山城","1","282","ndl-chugoku-shikoku-guide-1934;official-okayama-castle;official-okayama-korakuen","researched"
"featured","aneyoshi","姉吉","1","197","","pending"
"featured","nagasaki","長崎","1","301","ndl-hashima-1934;official-nagasaki-park;official-urakami-cathedral","researched"
"featured","sapporo","札幌","1","290","ndl-hokkaido-guide-1936;official-sapporo-grid;official-sapporo-blocks","researched"
"featured","hakodate","函館","1","268","ndl-hokkaido-guide-1936;official-hakodate-port-history;official-hakodate-preservation","researched"
"featured","nagoya","名古屋城","1","157","","pending"
"featured","himeji","姫路城","1","284","ndl-himeji-1934;official-himeji-scale;official-himeji-airraid","researched"
"featured","nara","東大寺","1","292","ndl-kinki-guide-1933;official-todaiji-daibutsuden;official-todaiji-nandaimon","researched"
"featured","kanazawa","金沢","1","151","","pending"
"featured","sendai","仙台","1","396","ndl-tohoku-guide-1929;official-sendai-castle;official-sendai-green","researched"
"featured","fukuoka","博多","1","134","","pending"
"featured","shuri","首里城","1","185","","pending"
"liminal","shime-fukuoka","志免町","3","133","","pending"
"liminal","nakano-broadway","中野ブロードウェイ","3","211","","pending"
"liminal","ikoma-sanjo","生駒山上遊園地","3","216","","pending"
"liminal","musashino-kyogijomae","武蔵野競技場前駅（廃駅）","3","239","","pending"
"liminal","chofu-airport","調布飛行場","3","126","","pending"
"liminal","maya-kanko-hotel","摩耶観光ホテル","3","215","","pending"
"liminal","negishi-racecourse","根岸競馬場","3","131","","pending"
"liminal","yoro-reversible-destiny","養老天命反転地","3","202","","pending"
"liminal","outer-underground-discharge","首都圏外郭放水路（地下神殿）","3","220","","pending"
"liminal","sarushima","猿島","3","140","","pending"
"liminal","zao-onsen","蔵王温泉","3","107","","pending"
"liminal","okunoshima","大久野島","3","117","","pending"
"liminal","tashirojima","田代島","3","105","","pending"
"liminal","sagamiko-arcade","勝瀬観光（勝瀬ボート）のゲームセンター","3","264","","pending"
"liminal","yubari-hokkaido","夕張市","3","134","","pending"
"liminal","nokogiriyama","鋸山（石切場跡）","3","244","","pending"
"liminal","tomogashima","友ヶ島","3","144","","pending"
"liminal","shimonoseki-consulate","旧下関英国領事館","3","248","","pending"
"liminal","oya-quarry","大谷資料館（大谷石地下採掘場跡）","3","229","","pending"
"liminal","ikeshima","池島","3","131","","pending"
"liminal","aokigahara","青木ヶ原樹海","3","134","","pending"
"liminal","ashio-copper-mine","足尾銅山","3","135","","pending"
"liminal","hashima-island","端島","3","345","ndl-hashima-1934;official-hashima-heritage;official-hashima-access;official-hashima-labor;unesco-hashima-mission-2021","researched"
"liminal","kinugawa-onsen","鬼怒川温泉","3","137","","pending"
"liminal","inujima","犬島","3","146","","pending"
"liminal","doai-station","土合駅","3","134","","pending"
"landmark","海遊館","海遊館","3","59","","pending"
"landmark","直島町","直島","3","60","","pending"
"landmark","姫路城","姫路城","1","134","ndl-himeji-1934;official-himeji-scale;official-himeji-airraid","researched"
"landmark","熊本城","熊本城","2","174","ndl-kumamoto-1909;official-kumamoto-history;official-kumamoto-repair","researched"
"landmark","松本城","松本城","2","102","","pending"
"landmark","名古屋城","名古屋城","2","101","","pending"
"landmark","二条城","二条城","2","81","","pending"
"landmark","首里城","首里城","2","83","","pending"
"landmark","秋葉原","秋葉原","1","73","","pending"
"landmark","道頓堀","道頓堀","2","109","ndl-kinki-guide-1933;official-dotonbori","researched"
"landmark","渋谷スクランブル交差点","渋谷スクランブル交差点","1","112","","pending"
"landmark","築地市場","築地","2","113","","pending"
"landmark","富士山","富士山","1","122","ndl-kanto-guide-1930;official-fuji-geomorphology;official-fuji-hoei","researched"
"landmark","嵐山","嵐山","3","127","","pending"
"landmark","箱根町","箱根","2","128","ndl-kanto-guide-1930;official-hakone-geopark;official-ashinoko-geology","researched"
"landmark","兼六園","兼六園","3","44","","pending"
"landmark","新宿御苑","新宿御苑","3","76","","pending"
"landmark","上野恩賜公園","上野公園","2","120","ndl-kanto-guide-1930;official-ueno-park;official-ueno-zoo","researched"
"landmark","伏見稲荷大社","伏見稲荷大社","1","132","ndl-kinki-guide-1941;official-inari-history;official-inari-torii","researched"
"landmark","伊勢神宮","伊勢神宮","2","48","","pending"
"landmark","明治神宮","明治神宮","2","130","ndl-kanto-guide-1930;official-meiji-forest;official-meiji-shrine;official-meiji-airraid","researched"
"landmark","日光東照宮","日光東照宮","3","99","","pending"
"landmark","東京駅","東京駅","1","126","ndl-kanto-guide-1930;official-tokyo-station-history;official-tokyo-station-restoration;official-tokyo-station-airraid","researched"
"landmark","平等院","平等院","2","134","ndl-kinki-guide-1941;official-byodoin-history;official-byodoin-architecture","researched"
"landmark","慈照寺","銀閣寺","3","115","ndl-kinki-guide-1941;official-ginkaku-history","researched"
"landmark","鹿苑寺","金閣寺","1","120","ndl-kinki-guide-1941;official-kinkaku-history","researched"
"landmark","清水寺","清水寺","1","115","ndl-kinki-guide-1941;official-kiyomizu-history;official-kiyomizu-date","researched"
"landmark","高野山","高野山","3","80","","pending"
"landmark","三十三間堂","三十三間堂","3","51","","pending"
"landmark","東大寺","東大寺","1","112","ndl-kinki-guide-1933;official-todaiji-daibutsuden;official-todaiji-nandaimon","researched"
"landmark","札幌市時計台","札幌時計台","3","69","","pending"
"landmark","東京スカイツリー","東京スカイツリー","1","99","","pending"
"landmark","東京タワー","東京タワー","1","72","","pending"
"landmark","白川郷・五箇山の合掌造り集落","白川郷","3","125","","pending"
"regional","regional-316631","小樽運河","2","215","ndl-hokkaido-guide-1936;official-otaru-canal;official-otaru-port-history","researched"
"regional","regional-10577","五稜郭","2","185","ndl-hokkaido-guide-1936;official-goryokaku-history;official-goryokaku-office","researched"
"regional","regional-1549755","弘前城","2","189","ndl-tohoku-guide-1929;official-hirosaki-castle","researched"
"regional","regional-231267","三内丸山遺跡","2","325","","pending"
"regional","regional-88539","中尊寺","2","175","ndl-tohoku-guide-1929;official-chusonji-history;official-chusonji-konjikido;official-hiraizumi-buildings","researched"
"regional","regional-149634","龍泉洞","2","239","","pending"
"regional","regional-712357","瑞鳳殿","2","181","ndl-tohoku-guide-1929;official-zuihoden","researched"
"regional","regional-88553","瑞巌寺","2","143","ndl-tohoku-guide-1929;official-zuiganji-history;official-zuiganji-guide","researched"
"regional","regional-624008","角館","2","111","","pending"
"regional","regional-1441156","秋田市立赤れんが郷土館","2","153","","pending"
"regional","regional-205162","立石寺","2","167","ndl-tohoku-guide-1929;official-risshakuji;official-yamagata-yamadera","researched"
"regional","regional-358475","鶴岡市立加茂水族館","2","310","","pending"
"regional","regional-311250","大内宿","2","284","","pending"
"regional","regional-1018371","飯盛山 (会津若松市)","2","65","","pending"
"regional","regional-41922","偕楽園","2","221","","pending"
"regional","regional-136755","弘道館","2","58","","pending"
"regional","regional-105698","足利学校","2","180","","pending"
"regional","regional-233160","日光田母沢御用邸記念公園","2","181","","pending"
"regional","regional-236070","富岡製糸場","2","408","","pending"
"regional","regional-28228","碓氷峠鉄道文化むら","2","342","","pending"
"regional","regional-207952","川越城","2","122","","pending"
"regional","regional-1060918","鉄道博物館 (さいたま市)","2","400","","pending"
"regional","regional-939231","佐原の町並み","2","188","","pending"
"regional","regional-66837","成田山新勝寺","2","335","","pending"
"regional","regional-147949","江戸東京たてもの園","2","194","","pending"
"regional","regional-285820","根津神社","2","60","","pending"
"regional","regional-67932","三溪園","2","199","","pending"
"regional","regional-1411490","小田原城","2","104","","pending"
"regional","regional-433291","北方文化博物館","2","316","","pending"
"regional","regional-735563","清津峡","2","172","","pending"
"regional","regional-397287","瑞龍寺 (高岡市)","2","246","","pending"
"regional","regional-1209245","富岩運河環水公園","2","68","","pending"
"regional","regional-931958","ひがし茶屋街","2","174","","pending"
"regional","regional-187086","那谷寺","2","113","","pending"
"regional","regional-88535","永平寺","2","194","","pending"
"regional","regional-633864","福井県立恐竜博物館","2","404","","pending"
"regional","regional-417333","甲斐善光寺","2","204","","pending"
"regional","regional-2605477","河口湖音楽と森の美術館","2","58","","pending"
"regional","regional-78794","善光寺","2","372","","pending"
"regional","regional-245249","奈良井宿","2","53","","pending"
"regional","regional-652840","高山陣屋","2","166","","pending"
"regional","regional-236374","馬籠宿","2","376","","pending"
"regional","regional-3142321","韮山反射炉","2","114","","pending"
"regional","regional-51919","久能山東照宮","2","330","","pending"
"regional","regional-27176","博物館明治村","2","369","","pending"
"regional","regional-28578","犬山城","2","120","","pending"
"regional","regional-238688","関宿","2","146","","pending"
"regional","regional-272276","伊賀上野城","2","128","ndl-kinki-guide-1933;official-iga-castle","researched"
"regional","regional-109545","彦根城","2","128","ndl-kinki-guide-1941;official-hikone-castle;official-hikone-genkyuen","researched"
"regional","regional-720333","近江八幡市八幡伝統的建造物群保存地区","2","204","","pending"
"regional","regional-83101","東福寺","2","128","ndl-kinki-guide-1941;official-tofukuji-bridge","researched"
